reference,species_taxid,walker_taxid,walker_taxon,walker_strain,walker_run_accession
M.riyadhense,486698,486698,Mycobacterium riyadhense,DSM_45176,SRR32024533
M.szulgai,1787,1787,Mycobacterium szulgai,NCTC_10829,SRR32024552
M.scrofulaceum,1783,1783,Mycobacterium scrofulaceum,NCTC_10803,SRR32024553
M.neolactis,3393513,3393513,Mycobacterium neolactis,NCTC_11058,SRR32024542
M.intracellulare,1767,1767,Mycobacterium intracellulare,NCTC_10682,SRR32024556
M.yunnanensis,368477,368477,Mycobacterium yunnanensis,DSM_44838,SRR32024566
M.hafniae,3393512,3393512,Mycobacterium hafniae,NCTC_11056,SRR32024545
M.fortuitum,1766,144549,Mycobacterium fortuitum subsp. fortuitum,NCTC_10395,SRR32024568
M.hafniae,3393512,3393512,Mycobacterium hafniae,NCTC_11055,SRR32024546
M.smegmatis,1772,1772,Mycobacterium smegmatis,NCTC_10265,SRR32024572
M.ulcerans,1809,1809,Mycobacterium ulcerans,NCTC_10013,SRR32024573
M.marinum,1781,1781,Mycobacterium marinum,NCTC_10011,SRR32024574
M.smegmatis,1772,1772,Mycobacterium smegmatis,NCTC_08159,SRR32024582
M.phlei,1771,1771,Mycobacterium phlei,NCTC_08157,SRR32024584
M.obuense,1807,1807,Mycobacterium obuense,NCTC_10778,SRR32024554
M.phlei,1771,1771,Mycobacterium phlei,NCTC_08156,SRR32024585
M.smegmatis,1772,1772,Mycobacterium smegmatis,NCTC_08153,SRR32024586
M.smegmatis,1772,1772,Mycobacterium smegmatis,NCTC_07017,SRR32024589
M.smegmatis,1772,1772,Mycobacterium smegmatis,NCTC_03820,SRR32024592
M.marinum,1781,1781,Mycobacterium marinum,NCTC_02275,SRR32024594
M.smegmatis,1772,1772,Mycobacterium smegmatis,NCTC_00334,SRR32024595
M.runyonii,3393498,405840,Mycobacterium runyonii,JCM_6390,SRR32024600
M.austroafricanum,39687,39687,Mycobacterium austroafricanum,JCM_6369,SRR32024602
M.aemonae,470075,470075,Mycobacterium aemonae,DSM_45058,SRR32024555
M.timonense,701043,701043,Mycobacterium timonense,JCM_17325,SRR32024604
M.seoulense,386911,386911,Mycobacterium seoulense,JCM_16018,SRR32024606
